"V1" "V2"
"1" 1 NA
"2" 2 3.9553612693
"3" 3 9.9947988693
"4" 4 3.1522036693
"5" 5 3.2673604693
"6" 6 2.2584636693
"7" 7 16.1203532693
"8" 8 31.9034932693
"9" 9 1.0460604693
"10" 10 9.3184452693
"11" 11 0.4674660693
"12" 12 2.0572580693
"13" 13 24.3828420693
"14" 14 2.5666020693
"15" 15 NA
"16" 16 5.0984572693
"17" 17 3.7106148693
"18" 18 3.1806084693
"19" 19 1.8383636693
"20" 20 2.4187572693
"21" 21 8.8166548693
"22" 22 38.2265956693
"23" 23 3.1394140693
"24" 24 NA
"25" 25 26.5711444693
"26" 26 3.4601980693
"27" 27 2.3541588693
"28" 28 2.3602636693
"29" 29 8.6356988693
"30" 30 6.7776564693
"31" 31 3.4563140693
"32" 32 1.0020140693
"33" 33 1.2070604693
"34" 34 31.1153436693
"35" 35 9.4170412693
"36" 36 11.1484492693
"37" 37 0.6820684693
"38" 38 5.5301588693
"39" 39 23.3600932693
"40" 40 1.7629788693
"41" 41 19.3102908693
"42" 42 NA
"43" 43 32.8786444693
"44" 44 9.9507028693
"45" 45 NA
"46" 46 2.8861580693
"47" 47 9.4050524693
"48" 48 NA
"49" 49 1.7762276693
"50" 50 11.9599524693
"51" 51 11.7425004693
"52" 52 4.1320100693
"53" 53 NA
"54" 54 3.0793556693
"55" 55 38.8191460693
"56" 56 1.9903108693
"57" 57 3.2536612693
"58" 58 3.5921636693
"59" 59 26.0214468693
"60" 60 5.4657476693
"61" 61 NA
"62" 62 NA
"63" 63 7.8059492693
"64" 64 23.7878988693
"65" 65 6.9272556693
"66" 66 0.7701676693
"67" 67 9.6587468693
"68" 68 2.4760596693
"69" 69 3.9222580693
"70" 70 15.8486028693
"71" 71 0.5006708693
"72" 72 20.0786524693
"73" 73 11.4177428693
"74" 74 3.9296084693
"75" 75 2.1809572693
"76" 76 NA
"77" 77 1.0110548693
"78" 78 0.6260228693
"79" 79 0.9103628693
"80" 80 14.6221940693
"81" 81 31.9506444693
"82" 82 1.6589196693
"83" 83 2.5139068693
"84" 84 16.0735036693
"85" 85 6.3610500693
"86" 86 1.1435596693
"87" 87 18.9031484693
"88" 88 NA
"89" 89 3.7851612693
"90" 90 NA
"91" 91 19.2959500693
"92" 92 3.2006092693
"93" 93 4.5707596693
"94" 94 NA
"95" 95 18.2703004693
"96" 96 2.1123108693
"97" 97 15.7093980693
"98" 98 12.2154996693
"99" 99 7.8803604693
"100" 100 12.2787932693
"101" 101 NA
"102" 102 0.9440148693
"103" 103 44.0665908693
"104" 104 12.1564004693
"105" 105 12.3104484693
"106" 106 3.0337596693
"107" 107 10.2025948693
"108" 108 34.4134476693
"109" 109 3.6762084693
"110" 110 0.8237228693
"111" 111 9.4125500693
"112" 112 NA
"113" 113 7.6329484693
"114" 114 2.9830516693
"115" 115 12.4168460693
"116" 116 NA
"117" 117 5.0555964693
"118" 118 18.3987956693
"119" 119 3.5699532693
"120" 120 33.0077916693
"121" 121 19.1750972693
"122" 122 4.3016676693
"123" 123 29.2900956693
"124" 124 3.0330660693
"125" 125 1.6543748693
"126" 126 8.8955524693
"127" 127 10.3640980693
"128" 128 0.8138676693
"129" 129 NA
"130" 130 4.6051044693
"131" 131 24.6703932693
"132" 132 24.0516980693
"133" 133 0.8988244693
"134" 134 1.3634236693
"135" 135 5.2337556693
"136" 136 18.3713508693
"137" 137 2.5973604693
"138" 138 4.0026060693
"139" 139 17.0286460693
"140" 140 4.0125644693
"141" 141 14.4973532693
"142" 142 14.5655468693
"143" 143 3.1894580693
"144" 144 NA
"145" 145 6.8608508693
"146" 146 1.3678620693
"147" 147 7.0299044693
"148" 148 NA
"149" 149 24.1965452693
"150" 150 34.8117428693
"151" 151 38.9013452693
"152" 152 1.5854300693
"153" 153 0.8204220693
"154" 154 10.8894516693
"155" 155 25.3317452693
"156" 156 NA
"157" 157 NA
"158" 158 3.7776076693
"159" 159 16.6317468693
"160" 160 26.5235940693
"161" 161 2.4811588693
"162" 162 1.5281164693
"163" 163 1.0592140693
"164" 164 3.6167588693
"165" 165 9.6239020693
"166" 166 2.9276148693
"167" 167 26.3862428693
"168" 168 NA
"169" 169 36.5861940693
"170" 170 3.3904548693
"171" 171 0.8108180693
"172" 172 14.8701436693
"173" 173 NA
"174" 174 5.4413620693
"175" 175 NA
"176" 176 1.2096156693
"177" 177 2.0731636693
"178" 178 1.4889596693
"179" 179 11.0786964693
"180" 180 6.6027148693
"181" 181 28.1997444693
"182" 182 5.1777100693
"183" 183 7.7976020693
"184" 184 2.7742628693
"185" 185 26.6188956693
"186" 186 NA
"187" 187 4.3382484693
"188" 188 3.7573148693
"189" 189 7.8913436693
"190" 190 NA
"191" 191 14.6669460693
"192" 192 NA
"193" 193 5.8266580693
"194" 194 3.9680628693
"195" 195 7.2637612693
"196" 196 0.7835236693
"197" 197 1.1825092693
"198" 198 NA
"199" 199 5.3226652693
