Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 14 p3_1.tif,6,640,106.667,40.000,255
tumour pic day 14 p3_2.tif,4,574,143.500,35.875,255
tumour pic day 14 p3_3.tif,3,611,203.667,38.188,255
tumour pic day 14 p3_4.tif,2,631,315.500,39.438,255
tumour pic day 14 p3_5.tif,3,620,206.667,38.750,255
tumour pic day 14 p3_6.tif,3,634,211.333,39.625,255
tumour pic day 14 p3_7.tif,5,456,91.200,28.500,255
tumour pic day 14 p3_8.tif,4,531,132.750,33.188,255
tumour pic day 14 p3_9.tif,2,527,263.500,32.938,255
tumour pic day 14 p3_10.tif,4,502,125.500,31.375,255
tumour pic day 14 p3_11.tif,2,538,269.000,33.625,255
tumour pic day 14 p3_12.tif,6,580,96.667,36.250,255
