"V1" "V2"
"1" 1 0.3814939255
"2" 2 0.4988475255
"3" 3 0.4693435255
"4" 4 0.5448939255
"5" 5 0.4408427255
"6" 6 0.7054459255
"7" 7 0.4128939255
"8" 8 0.4344923255
"9" 9 0.4411451255
"10" 10 0.4907419255
"11" 11 0.7594467255
"12" 12 0.4265947255
"13" 13 0.6349907255
"14" 14 0.4614923255
"15" 15 0.6721947255
"16" 16 0.5403963255
"17" 17 0.6224899255
"18" 18 0.5049427255
"19" 19 0.6731427255
"20" 20 0.4380387255
"21" 21 0.5430955255
"22" 22 0.6032931255
"23" 23 0.5002435255
"24" 24 0.5823939255
"25" 25 0.6859435255
"26" 26 0.7089907255
"27" 27 0.5568963255
"28" 28 0.5599443255
"29" 29 0.5213875255
"30" 30 0.5666435255
"31" 31 0.5966427255
"32" 32 0.4927963255
"33" 33 0.5022931255
"34" 34 0.6468403255
"35" 35 0.5442915255
"36" 36 0.6917931255
"37" 37 0.5501435255
"38" 38 0.4949427255
"39" 39 0.6138427255
"40" 40 0.5466915255
"41" 41 0.5366939255
"42" 42 0.6400419255
"43" 43 0.5312907255
"44" 44 0.5037427255
"45" 45 0.5146427255
"46" 46 0.4785419255
"47" 47 0.5328915255
"48" 48 0.5455395255
"49" 49 0.5302435255
"50" 50 0.6820411255
"51" 51 0.5203955255
"52" 52 0.6390955255
"53" 53 0.5541411255
"54" 54 0.6540899255
"55" 55 0.5895435255
"56" 56 0.5912491255
"57" 57 0.6228963255
"58" 58 0.4494939255
"59" 59 0.5633467255
"60" 60 0.5069915255
"61" 61 0.5797939255
"62" 62 0.6098891255
"63" 63 0.6140467255
"64" 64 0.7073475255
"65" 65 0.6185443255
"66" 66 0.7080427255
"67" 67 0.6233451255
"68" 68 0.7241923255
"69" 69 0.6305915255
"70" 70 0.4981899255
"71" 71 0.5452907255
"72" 72 0.6635931255
"73" 73 0.6610915255
"74" 74 0.5754907255
"75" 75 0.5860955255
"76" 76 0.8282907255
"77" 77 0.5665443255
"78" 78 0.6276459255
"79" 79 0.6946443255
"80" 80 0.4537907255
"81" 81 0.5765411255
"82" 82 0.5187435255
"83" 83 0.4891459255
"84" 84 0.5099443255
"85" 85 0.6914395255
"86" 86 0.5512891255
"87" 87 0.5059931255
"88" 88 0.6949395255
"89" 89 0.8154411255
"90" 90 0.6023939255
