Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 9 p7_1.tif,0,0,NaN,0.000,NaN
tumour pic day 9 p7_2.tif,0,0,NaN,0.000,NaN
tumour pic day 9 p7_3.tif,0,0,NaN,0.000,NaN
tumour pic day 9 p7_4.tif,0,0,NaN,0.000,NaN
tumour pic day 9 p7_5.tif,0,0,NaN,0.000,NaN
tumour pic day 9 p7_6.tif,0,0,NaN,0.000,NaN
tumour pic day 9 p7_7.tif,0,0,NaN,0.000,NaN
tumour pic day 9 p7_8.tif,0,0,NaN,0.000,NaN
tumour pic day 9 p7_9.tif,0,0,NaN,0.000,NaN
tumour pic day 9 p7_10.tif,1,22,22,1.375,255
tumour pic day 9 p7_11.tif,1,28,28,1.750,255
tumour pic day 9 p7_12.tif,1,1,1,0.062,255
