Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 14 p1_1.tif,1,1600,1600.000,100.000,255
tumour pic day 14 p1_2.tif,1,1600,1600.000,100.000,255
tumour pic day 14 p1_3.tif,1,1565,1565.000,97.812,255
tumour pic day 14 p1_4.tif,1,1408,1408.000,88.000,255
tumour pic day 14 p1_5.tif,1,1426,1426.000,89.125,255
tumour pic day 14 p1_6.tif,1,1504,1504.000,94.000,255
tumour pic day 14 p1_7.tif,1,1500,1500.000,93.750,255
tumour pic day 14 p1_8.tif,1,1536,1536.000,96.000,255
tumour pic day 14 p1_9.tif,2,1409,704.500,88.062,255
tumour pic day 14 p1_10.tif,1,1500,1500.000,93.750,255
tumour pic day 14 p1_11.tif,1,1438,1438.000,89.875,255
tumour pic day 14 p1_12.tif,1,1357,1357.000,84.812,255
