"V1" "V2"
"1" 1 3.8871007181
"2" 2 3.8446694681
"3" 3 4.5377982181
"4" 4 3.9369507181
"5" 5 4.3804532181
"6" 6 3.7799119681
"7" 7 3.7761607181
"8" 8 3.9771007181
"9" 9 4.6969482181
"10" 10 4.5852244681
"11" 11 4.0211582181
"12" 12 4.3956794681
"13" 13 3.4777107181
"14" 14 4.4300644681
"15" 15 4.4777182181
"16" 16 3.7862482181
"17" 17 4.0571044681
"18" 18 4.9010832181
"19" 19 4.5214019681
"20" 20 3.7899894681
"21" 21 4.5357894681
"22" 22 3.9239719681
"23" 23 4.4711744681
"24" 24 4.6240632181
"25" 25 4.9880444681
"26" 26 3.9169457181
"27" 27 4.1733594681
"28" 28 4.7054644681
"29" 29 4.1006857181
"30" 30 4.4304569681
"31" 31 4.9620107181
"32" 32 4.4489007181
"33" 33 3.3052344681
"34" 34 3.8185919681
"35" 35 4.4274882181
"36" 36 3.8634257181
"37" 37 4.8798182181
"38" 38 3.5085857181
"39" 39 4.2045319681
"40" 40 4.6993632181
"41" 41 4.3090557181
"42" 42 4.4753732181
"43" 43 3.7448482181
"44" 44 3.9083457181
"45" 45 3.9816982181
"46" 46 4.1863144681
"47" 47 3.9923344681
"48" 48 3.6967119681
"49" 49 4.0040494681
"50" 50 4.6042832181
"51" 51 4.5328857181
"52" 52 4.8587457181
"53" 53 3.4387482181
"54" 54 4.6031832181
"55" 55 3.7784407181
"56" 56 4.1945182181
"57" 57 4.3096107181
"58" 58 4.4404744681
"59" 59 3.4093769681
"60" 60 3.7786707181
"61" 61 NA
"62" 62 4.4131969681
"63" 63 4.3850694681
"64" 64 3.9828882181
"65" 65 4.5095969681
"66" 66 4.3085882181
"67" 67 4.2784257181
"68" 68 3.8672707181
"69" 69 3.9012507181
"70" 70 3.9019319681
"71" 71 4.1812419681
"72" 72 4.6472382181
"73" 73 4.4928057181
"74" 74 3.9933544681
"75" 75 3.6767119681
"76" 76 5.8464719681
"77" 77 3.8890557181
"78" 78 4.0374107181
"79" 79 4.3806144681
"80" 80 4.5686619681
"81" 81 4.0503932181
"82" 82 3.8278094681
"83" 83 4.6127407181
"84" 84 3.6349157181
"85" 85 4.6052919681
"86" 86 3.8521232181
"87" 87 4.7669394681
"88" 88 4.4325757181
"89" 89 3.9015494681
"90" 90 3.7039932181
"91" 91 4.7003869681
"92" 92 4.4561632181
"93" 93 3.9173494681
"94" 94 3.8100794681
"95" 95 3.6561569681
"96" 96 3.6664119681
"97" 97 4.2522019681
"98" 98 4.1614819681
"99" 99 4.6163294681
"100" 100 3.7124169681
"101" 101 4.4552269681
"102" 102 3.3781957181
"103" 103 3.2711757181
"104" 104 4.4296069681
"105" 105 4.7641419681
"106" 106 4.2496857181
"107" 107 4.6194269681
"108" 108 3.9099182181
"109" 109 4.2146857181
"110" 110 3.8815569681
"111" 111 NA
"112" 112 4.5639857181
"113" 113 4.8349094681
"114" 114 5.1228807181
"115" 115 4.2951419681
"116" 116 4.0572544681
"117" 117 3.9796832181
"118" 118 3.8885069681
"119" 119 3.9170882181
"120" 120 4.2467969681
"121" 121 4.2315482181
"122" 122 3.7171944681
"123" 123 4.3578744681
"124" 124 3.9379594681
"125" 125 4.3658482181
"126" 126 4.0502357181
"127" 127 3.7349969681
"128" 128 3.7159494681
"129" 129 4.0006994681
"130" 130 3.8763957181
"131" 131 4.8163907181
"132" 132 3.4976507181
"133" 133 4.4613294681
"134" 134 4.1280507181
"135" 135 NA
"136" 136 4.2799157181
"137" 137 3.6863307181
"138" 138 4.0239832181
"139" 139 3.7582757181
"140" 140 3.8907844681
"141" 141 4.2339719681
"142" 142 3.9801519681
"143" 143 3.4255332181
"144" 144 4.4682632181
"145" 145 4.3607794681
"146" 146 NA
"147" 147 4.3380482181
"148" 148 4.3601482181
"149" 149 4.0872519681
"150" 150 4.4207744681
"151" 151 3.9895307181
"152" 152 3.6289769681
"153" 153 4.3245182181
"154" 154 4.0767044681
"155" 155 4.2558457181
"156" 156 4.2967844681
"157" 157 4.4497544681
"158" 158 3.8236719681
"159" 159 3.5698344681
"160" 160 4.5479657181
"161" 161 5.0453757181
"162" 162 4.4931207181
"163" 163 3.9910057181
"164" 164 4.2233419681
"165" 165 3.8217107181
"166" 166 4.2894657181
"167" 167 NA
"168" 168 3.7960857181
"169" 169 4.3943519681
"170" 170 4.1073494681
"171" 171 4.2126432181
"172" 172 3.7511532181
"173" 173 3.8187557181
"174" 174 3.8440519681
"175" 175 4.2651557181
"176" 176 3.4155419681
"177" 177 4.3231057181
"178" 178 4.3185057181
"179" 179 3.7837307181
"180" 180 4.0691182181
"181" 181 4.1218607181
"182" 182 3.9558469681
"183" 183 4.5302882181
"184" 184 4.6396032181
"185" 185 4.0171857181
"186" 186 4.3953057181
"187" 187 4.8621832181
"188" 188 3.9445144681
"189" 189 4.4090532181
"190" 190 4.3624957181
"191" 191 4.0424782181
"192" 192 3.7746994681
"193" 193 3.6375832181
"194" 194 4.5793632181
"195" 195 4.8788232181
"196" 196 4.5412457181
"197" 197 4.5598357181
"198" 198 3.3487457181
"199" 199 3.5960957181
"200" 200 4.8785032181
"201" 201 4.8764844681
"202" 202 4.7178769681
"203" 203 4.2102244681
"204" 204 4.3775707181
"205" 205 3.3580332181
"206" 206 4.5164082181
"207" 207 4.2940619681
"208" 208 4.2642919681
"209" 209 4.1063982181
"210" 210 3.9150732181
"211" 211 4.7665594681
"212" 212 3.8762457181
"213" 213 4.5377282181
"214" 214 4.2823507181
"215" 215 3.7184557181
"216" 216 4.0413244681
"217" 217 3.9001569681
"218" 218 4.0870344681
"219" 219 4.6900607181
"220" 220 3.8153119681
"221" 221 4.4454694681
"222" 222 4.2369457181
"223" 223 4.0606919681
"224" 224 4.4853744681
"225" 225 4.4885044681
"226" 226 4.3485844681
"227" 227 NA
"228" 228 4.5848407181
"229" 229 4.1878994681
"230" 230 3.9326432181
"231" 231 4.4871769681
"232" 232 4.9321944681
"233" 233 4.6115494681
"234" 234 4.6434144681
"235" 235 4.6660157181
"236" 236 4.6397644681
"237" 237 4.0269519681
"238" 238 4.7196094681
"239" 239 3.7351619681
"240" 240 4.2709282181
"241" 241 4.1280394681
"242" 242 4.2762407181
"243" 243 4.8105544681
"244" 244 4.1615607181
"245" 245 3.4889719681
"246" 246 3.6086632181
"247" 247 4.4853057181
"248" 248 4.1946782181
"249" 249 4.6643632181
"250" 250 4.3217932181
"251" 251 4.3456194681
"252" 252 5.5237294681
"253" 253 4.0571044681
"254" 254 4.5012432181
"255" 255 4.1718669681
"256" 256 4.5651619681
"257" 257 4.0330482181
"258" 258 3.8462444681
"259" 259 4.7821007181
"260" 260 3.8966494681
"261" 261 4.7281994681
"262" 262 4.5322657181
"263" 263 5.3657019681
"264" 264 4.0533607181
"265" 265 4.1866307181
"266" 266 3.8102194681
"267" 267 3.9817244681
"268" 268 4.8578857181
"269" 269 4.1770957181
"270" 270 4.9821732181
"271" 271 4.2369482181
"272" 272 4.4639657181
"273" 273 3.5646769681
"274" 274 4.6074169681
"275" 275 3.6989582181
"276" 276 3.6849969681
"277" 277 4.1315432181
"278" 278 4.4648394681
"279" 279 4.4764794681
"280" 280 4.5198282181
"281" 281 3.9672482181
"282" 282 3.4301669681
"283" 283 4.7024982181
"284" 284 3.9666982181
"285" 285 4.1978032181
"286" 286 4.3794519681
"287" 287 5.1677257181
"288" 288 3.8013319681
"289" 289 3.7033544681
"290" 290 4.5201407181
"291" 291 4.6889069681
"292" 292 3.7088969681
"293" 293 3.7596844681
"294" 294 3.1270369681
"295" 295 4.2313257181
"296" 296 4.4354632181
"297" 297 3.7121032181
"298" 298 4.2819419681
"299" 299 3.5403007181
"300" 300 4.4642194681
"301" 301 4.9994557181
"302" 302 2.9910932181
"303" 303 4.2101407181
"304" 304 4.8607757181
"305" 305 4.3772682181
"306" 306 4.0145219681
"307" 307 3.9003144681
"308" 308 4.6273394681
"309" 309 3.5865669681
"310" 310 4.3297507181
"311" 311 4.6724819681
"312" 312 4.5514832181
"313" 313 4.5253694681
"314" 314 4.8060119681
