"dn.init.par" "dn.p2" "dn.p3" "dn.p4" "dn.p5" "dn.quad.temp" "dn.lin.temp" "gamma.init.par" "gamma.p2" "gamma.p3" "gamma.p4" "gamma.p5" "gamma.quad.temp" "gamma.lin.temp" "rn.init.par" "rn.p2" "rn.p3" "rn.p4" "rn.p5" "rn.quad.temp" "rn.lin.temp" "eta.init.par" "eta.p2" "eta.p3" "eta.p4" "eta.p5" "eta.quad.temp" "eta.lin.temp" "" "alpha.init.par" "alpha.p2" "alpha.p3" "alpha.p4" "alpha.p5" "alpha.quad.temp" "alpha.lin.temp" "" "" "prob.prof.init.par" "prob.prof.p2" "prob.prof.p3" "prob.prof.p4" "prob.prof.p5" "prob.prof.quad.temp" "prob.prof.lin.temp"
"paras.r1.run3.mean" 0.00785936508352965 0.00747931490336977 0.00813626027473498 0.00983020119762526 0.0125611376720406 0.000518497775762543 -0.00193554350744751 0.0956340706483795 0.165992032254677 0.192822243037945 0.176124702998183 0.115899412135391 -0.0217638754115149 0.135649587840842 0.0338491365308298 0.0465168872719233 0.0518446482117697 0.049832419350369 0.0404802006877213 -0.00366999490062354 0.0236777354429641 14.0634346739562 11.053749855547 9.91175174064335 10.6374403292454 13.230815621353 0.933843351752822 -5.81121487366773 0.0164646217688397 0.139199892080594 0.111350305258104 0.10065740604098 0.107121194429223 0.130741670422832 0.00857834380268321 -0.0535846182305398 3.00362051894788 0.0548728294872104 0.430845568537287 0.743573394287819 0.853654410935576 0.761088618480558 0.465876016922764 -0.101323404551388 0.616698039404695
"paras.r2.run3.mean" 0.00845389133485378 0.00791424040452611 0.00834923124356284 0.00975886385196395 0.0121431382297294 0.000487320884682193 -0.00200161358437424 0.0265722026843261 0.116377709064382 0.163169363486911 0.166947165951913 0.127711116459389 -0.0215069259787633 0.154326284316345 0.0337160496658225 0.0465368021123988 0.0520390495522679 0.0502227919854298 0.0410880294118845 -0.00365925250335361 0.0237985099566372 14.3149746733461 11.2495034926629 10.0469715938943 10.7073789770403 13.2307256421009 0.931469640957297 -5.85988010355509 0.0167072065571162 0.140760597399004 0.112624828786512 0.10166817719753 0.107890642632057 0.131292225090095 0.00858955851175486 -0.0539044441477563 2.84550213667578 0.0622753684497338 0.392191252601121 0.703575149514722 0.815325433094825 0.727442103341431 0.439925160254539 -0.0998168066667488 0.610834316913847
"paras.r3.run3.mean" 0.00528878107186962 0.00469551500761096 0.00506178718642322 0.00638759760830641 0.00867294627326051 0.00047976912153546 -0.00203257342886504 0.018893791566232 0.111450078937283 0.161356268765967 0.168612361052282 0.13321835579623 -0.0213250487711839 0.156531433684603 0.0341009108152056 0.0471759861086605 0.0529365020343405 0.0513824585922454 0.0425138557823752 -0.00365727968388752 0.0240469143451175 14.531170765105 11.3778614583897 10.1016462124517 10.7025250272908 13.180497902907 0.938547030388575 -5.96895039788094 0.0177532255544949 0.141550836636309 0.113231233700829 0.101882631682098 0.107505030580116 0.130098430394884 0.00848550045837452 -0.0537761043106034 2.61481890212961 0.0708877606591131 0.34729864731547 0.645472611114179 0.755911947276164 0.678616655801427 0.413586736689967 -0.0938673138183615 0.579775905253793
"paras.r4.run3.mean" 0.00289874539826221 0.00222869675846363 0.00249649059817622 0.00370212691739999 0.00584560571613493 0.000468921239755588 -0.00207681235906535 0.0116906360712587 0.113138552050833 0.16957102258683 0.180988047679249 0.147389627328091 -0.0225077227217888 0.168971084144941 0.034176972005819 0.0478026111330019 0.0540989344446722 0.05306594194083 0.0447036336214753 -0.00366465790775626 0.0246196128504516 14.7544958307426 11.4333509535299 10.0907232478384 10.7266127136682 13.3410193510193 0.989258585760632 -6.28892063449464 0.0177694074181796 0.142852240847832 0.114678378540292 0.102823663666943 0.107288096227783 0.128071676222813 0.00815957371709495 -0.0526525834588245 2.23248710739251 0.0771222334375316 0.29348569633875 0.596757038926534 0.716450351437378 0.652565633871283 0.405102886228247 -0.09178901503847 0.578638387703195
"paras.r5.run3.mean" 0.002048490679472 0.00155087712873287 0.00206523388759743 0.00359156095606571 0.00612985833413769 0.000505985154801853 -0.0020155690151447 0.00946748380313193 0.117881097733549 0.176728610084826 0.186010020856963 0.145725330049959 -0.0247830507895702 0.182762766299128 0.0362880731860002 0.0498253823571662 0.0560341165904633 0.0549142758858915 0.046465860243451 -0.00366428746893442 0.0245301715779692 14.2486722815101 10.9437438375415 9.77225416688447 10.7342032695389 13.8295911455048 1.06671938665574 -6.50508660393576 0.0184963487742825 0.14211862166926 0.11637695084344 0.106184154700014 0.111540233238983 0.132445186460347 0.00777443734119741 -0.0490649828494129 1.79212801489913 0.0851139457358424 0.266562920321604 0.592929451847482 0.720969015191643 0.650681610354087 0.382067237334814 -0.0991634840908586 0.623856983798454
"paras.r6.run3.mean" 0.00148713992036258 0.00121080258204317 0.00199755114880292 0.00384738562064185 0.00676030599755994 0.000531542952539585 -0.00187096619593817 0.00775866118599303 0.110993118995744 0.164873754668863 0.169400568205352 0.12457355960521 -0.0246769110683154 0.177265191014697 0.0444870329617436 0.0568147594719746 0.0614522349740765 0.0583994594680491 0.0476564329538924 -0.00384512550406461 0.0238631030224249 13.0449028500185 10.0294095249814 9.25106711376598 10.7098756163722 14.4058350328 1.11857545691081 -6.37121969576948 0.0209717429932475 0.134951489951405 0.111862036394766 0.105009433286111 0.11439368062544 0.140014778412755 0.00811842522399236 -0.0474447292286169 1.53503547398377 0.0902434331215596 0.281641815587223 0.629320633101265 0.754386683524108 0.656839966855753 0.336680483096198 -0.111306383545599 0.68159796815084
"paras.r7.run3.mean" 0.000927675752110369 0.000803555088741252 0.00171947301799104 0.00367542953985974 0.00667142465434735 0.000520019296309454 -0.00168417855229748 0.00654957150485074 0.104925789107055 0.153298939981335 0.151669024127691 0.100036041546122 -0.0250015333639623 0.173380817694092 0.0546205863566602 0.0651877249562624 0.0674969741914975 0.0615483340623657 0.0473418045688669 -0.00412894468218348 0.0229539726461526 12.2104407553363 9.24466563451574 8.60393329729769 10.2882437436822 14.2975969736692 1.16252139180127 -6.45333929622442 0.02325787098588 0.125890297666379 0.101850528033462 0.09553224412922 0.106935445953653 0.136060133506761 0.00886074286433754 -0.0506219982259295 1.6409916244356 0.0878694198107775 0.318455481561199 0.693081853233932 0.814251553235406 0.681964581565622 0.296220938224578 -0.126728335835629 0.754811379179621
"paras.r8.run3.mean" 0.000538255705663994 0.000489494368464784 0.00143691164008602 0.00338050752052771 0.00632028200978984 0.000498089304410224 -0.00154302925042988 0.00598164471166648 0.102818842953434 0.148268796230569 0.142331504543071 0.085006967890942 -0.0256936224823161 0.173918065688715 0.0612145201098959 0.0707146345808952 0.071559704295713 0.0637497292543493 0.047284709456804 -0.00432752237809075 0.0224826816052715 11.8796840400912 8.8392175079293 8.1817909833627 9.9074044663914 14.0160579570154 1.19152000379765 -6.61502654355483 0.0245804095123413 0.12061248630974 0.0943125159419404 0.0867930248981028 0.0980540131782268 0.128095480782313 0.00939023966198088 -0.0544706893537421 1.83061216042231 0.0838509577892778 0.34872044185562 0.745743776763369 0.864934688924496 0.706293178339003 0.269819245006888 -0.138916211373311 0.813771969027681
"paras.r9.run3.mean" 0.000379115130320129 0.000364637597609661 0.0013290446976017 0.00327233643029626 0.00619451279569332 0.000489442316351256 -0.00148280448176423 0.00577613050507732 0.102395356227755 0.147011971175044 0.139625975346942 0.0802373687434509 -0.0260013053876949 0.174623141885763 0.0635779804964012 0.0726904929328582 0.0730003762694725 0.0645076305062441 0.047212255643173 -0.00440131454992136 0.0223164560862211 11.7848186644408 8.71432256211217 8.0508385505236 9.79436662967506 13.9449067995665 1.20350604537001 -6.68101423843862 0.0250979448627884 0.118796662496686 0.0914623776142535 0.0833105511019545 0.0943411829597892 0.124554273187757 0.00959122918506679 -0.0561079724376329 1.90101226683122 0.0821738867929027 0.359256567009596 0.764326583107839 0.882291937822745 0.713152631154315 0.256908663102547 -0.143552330691669 0.835727008173249
"paras.r10.run3.mean" 0.00033733267704247 0.000340467116643053 0.00132097732464163 0.00327886330103819 0.00621412504583274 0.000488687884198995 -0.0014629292129964 0.00572790560581911 0.102458134357958 0.147039956189389 0.139473371100112 0.079758379090127 -0.0260742034603539 0.174952839133201 0.0640515246276698 0.0730448171522996 0.0732030721757543 0.0645262896980339 0.0470144697191384 -0.00441751875058756 0.0222458487763925 11.7732789476292 8.70182459679116 8.04476596697283 9.80210305817419 13.9738358703952 1.20719786050985 -6.69304793236756 0.0252124884211912 0.118473472080177 0.0908809096521241 0.0825262955737449 0.0934096298450398 0.123530912466009 0.00961897417483701 -0.0564494849525642 1.90312750770768 0.0819460031277779 0.360285260363569 0.765698650763142 0.882621221947936 0.71105297391795 0.250993906673185 -0.14424540960739 0.838149619221742
