Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 9 p1_1.tif,1,1359,1359,84.938,255
tumour pic day 9 p1_2.tif,1,1300,1300,81.250,255
tumour pic day 9 p1_3.tif,1,1461,1461,91.312,255
tumour pic day 9 p1_4.tif,1,1456,1456,91.000,255
tumour pic day 9 p1_5.tif,1,1600,1600,100.000,255
tumour pic day 9 p1_6.tif,1,1597,1597,99.812,255
tumour pic day 9 p1_7.tif,1,1256,1256,78.500,255
tumour pic day 9 p1_8.tif,1,1273,1273,79.562,255
tumour pic day 9 p1_9.tif,1,1433,1433,89.562,255
tumour pic day 9 p1_10.tif,1,1381,1381,86.312,255
tumour pic day 9 p1_11.tif,1,1519,1519,94.938,255
tumour pic day 9 p1_12.tif,1,1600,1600,100.000,255
