"V1" "V2"
"1" 1 3.7719557181
"2" 2 6.4616257181
"3" 3 4.4471119681
"4" 4 4.2975794681
"5" 5 5.4984907181
"6" 6 3.4792169681
"7" 7 4.5531107181
"8" 8 5.2802332181
"9" 9 4.7474094681
"10" 10 4.1024969681
"11" 11 4.0465494681
"12" 12 5.4431157181
"13" 13 3.7249132181
"14" 14 4.3715582181
"15" 15 5.5353007181
"16" 16 5.2594332181
"17" 17 4.4612469681
"18" 18 6.4441882181
"19" 19 NA
"20" 20 4.4260019681
"21" 21 4.4871757181
"22" 22 3.5191432181
"23" 23 4.5957644681
"24" 24 4.2297732181
"25" 25 3.8506232181
"26" 26 3.3389157181
"27" 27 NA
"28" 28 4.3929694681
"29" 29 3.6248382181
"30" 30 5.7457744681
"31" 31 4.4068657181
"32" 32 3.5053144681
"33" 33 5.2035719681
"34" 34 NA
"35" 35 3.9968757181
"36" 36 3.3894619681
"37" 37 4.0725019681
"38" 38 5.1297669681
"39" 39 4.0559482181
"40" 40 4.7597557181
"41" 41 4.7697694681
"42" 42 5.2432857181
"43" 43 5.0860919681
"44" 44 6.2157744681
"45" 45 3.8186682181
"46" 46 3.5575832181
"47" 47 3.6354057181
"48" 48 NA
"49" 49 3.8926544681
"50" 50 5.0152294681
"51" 51 NA
"52" 52 3.4824194681
"53" 53 5.0467032181
"54" 54 NA
"55" 55 NA
"56" 56 4.2986832181
"57" 57 4.0800169681
"58" 58 4.7714094681
"59" 59 4.5098369681
"60" 60 4.4743782181
"61" 61 5.3435932181
"62" 62 3.6917207181
"63" 63 4.1025769681
"64" 64 4.7185882181
"65" 65 3.8917107181
"66" 66 5.0748257181
"67" 67 3.8889857181
"68" 68 6.9080382181
"69" 69 6.1478057181
"70" 70 4.0278094681
"71" 71 6.6479607181
"72" 72 4.8282782181
"73" 73 5.3130357181
"74" 74 5.0188182181
"75" 75 4.3784294681
"76" 76 3.8819582181
"77" 77 3.8799107181
"78" 78 4.2483507181
"79" 79 NA
"80" 80 4.2191344681
"81" 81 NA
"82" 82 4.1064869681
"83" 83 5.9613344681
"84" 84 6.5320194681
"85" 85 5.3449857181
"86" 86 5.2242057181
"87" 87 3.4395469681
"88" 88 4.4152344681
"89" 89 NA
"90" 90 4.4077307181
"91" 91 5.2831982181
"92" 92 5.4997532181
"93" 93 3.4769557181
"94" 94 6.5808494681
"95" 95 4.4571007181
"96" 96 6.0399182181
"97" 97 5.3992844681
"98" 98 3.4284369681
"99" 99 3.4659332181
"100" 100 5.4824844681
"101" 101 5.2002857181
"102" 102 3.8814769681
"103" 103 3.8520232181
"104" 104 3.9694457181
