Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 12 p5_1.tif,2,23,11.500,1.438,255
tumour pic day 12 p5_2.tif,1,35,35.000,2.188,255
tumour pic day 12 p5_3.tif,1,13,13.000,0.812,255
tumour pic day 12 p5_4.tif,1,5,5.000,0.312,255
tumour pic day 12 p5_5.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p5_6.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p5_7.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p5_8.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p5_9.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p5_10.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p5_11.tif,1,3,3.000,0.188,255
tumour pic day 12 p5_12.tif,1,8,8.000,0.500,255
