Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 12 p6_1.tif,1,10,10,0.625,255
tumour pic day 12 p6_2.tif,1,4,4,0.250,255
tumour pic day 12 p6_3.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p6_4.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p6_5.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p6_6.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p6_7.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p6_8.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p6_9.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p6_10.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p6_11.tif,0,0,NaN,0.000,NaN
tumour pic day 12 p6_12.tif,0,0,NaN,0.000,NaN
