"V1" "V2"
"1" 1 0.1312919161
"2" 2 0.1858943161
"3" 3 0.1454895161
"4" 4 0.2158455161
"5" 5 0.1374471161
"6" 6 0.1565959161
"7" 7 0.1753943161
"8" 8 0.1440431161
"9" 9 0.2044407161
"10" 10 0.2753959161
"11" 11 0.1667919161
"12" 12 0.1211935161
"13" 13 0.1223463161
"14" 14 0.2318935161
"15" 15 0.2532935161
"16" 16 0.2004919161
"17" 17 0.1841959161
"18" 18 0.1913943161
"19" 19 0.1699943161
"20" 20 0.2136415161
"21" 21 0.1819431161
"22" 22 0.0994935161
"23" 23 0.2317447161
"24" 24 0.2283935161
"25" 25 0.1358935161
"26" 26 0.1805431161
"27" 27 0.1895447161
"28" 28 0.1728951161
"29" 29 0.1990439161
"30" 30 0.1820935161
"31" 31 0.1988439161
"32" 32 0.2117951161
"33" 33 0.2577935161
"34" 34 0.1606943161
"35" 35 0.1273959161
"36" 36 0.1222463161
"37" 37 0.1835407161
"38" 38 0.1007431161
"39" 39 0.1300919161
"40" 40 0.1365951161
"41" 41 0.1886927161
"42" 42 0.2016911161
"43" 43 0.2138455161
"44" 44 0.2144943161
"45" 45 0.2008439161
"46" 46 0.1127951161
"47" 47 0.1821415161
"48" 48 0.2675967161
"49" 49 0.1878919161
"50" 50 0.1926943161
"51" 51 0.1990959161
"52" 52 0.1386431161
"53" 53 0.1929439161
"54" 54 0.2318935161
"55" 55 0.2214919161
"56" 56 0.1960439161
"57" 57 0.2562919161
"58" 58 0.2311927161
"59" 59 0.1353919161
"60" 60 0.2014935161
"61" 61 0.1524935161
"62" 62 0.2319447161
"63" 63 0.2717431161
"64" 64 0.2269423161
"65" 65 0.2081431161
"66" 66 0.1778943161
"67" 67 0.2325439161
"68" 68 0.1628431161
"69" 69 0.2000951161
"70" 70 0.2848391161
"71" 71 0.2055447161
"72" 72 0.2055439161
"73" 73 0.1417943161
"74" 74 0.1452431161
"75" 75 0.2107951161
"76" 76 0.2521415161
"77" 77 0.1439415161
"78" 78 0.2255391161
"79" 79 0.2164391161
"80" 80 0.1535943161
"81" 81 0.1638919161
"82" 82 0.1755447161
"83" 83 0.2188423161
"84" 84 0.2244423161
"85" 85 0.1465951161
"86" 86 0.1604951161
"87" 87 0.1358927161
"88" 88 0.2029927161
"89" 89 0.1851399161
"90" 90 0.1746455161
"91" 91 0.2289935161
"92" 92 0.1711951161
"93" 93 0.2246431161
"94" 94 0.2185927161
"95" 95 0.1479943161
"96" 96 0.1265935161
"97" 97 0.2023447161
"98" 98 0.1607439161
"99" 99 0.2076423161
"100" 100 0.1311439161
"101" 101 0.1834951161
"102" 102 0.1979439161
"103" 103 0.1455463161
"104" 104 0.1342935161
"105" 105 0.2011431161
"106" 106 0.2605919161
"107" 107 0.1858943161
"108" 108 0.1795951161
"109" 109 0.2049919161
"110" 110 0.2174407161
"111" 111 0.2134463161
"112" 112 0.1588463161
"113" 113 0.3609911161
"114" 114 0.1494959161
"115" 115 0.1727943161
"116" 116 0.2419415161
"117" 117 0.1600935161
"118" 118 0.1732431161
"119" 119 0.2614399161
"120" 120 0.1328943161
"121" 121 0.2086943161
"122" 122 0.3382887161
"123" 123 0.3544407161
"124" 124 0.2630431161
"125" 125 0.2076447161
"126" 126 0.2369911161
"127" 127 0.1432415161
"128" 128 0.2063479161
"129" 129 0.1916423161
"130" 130 0.1833471161
"131" 131 0.1901431161
"132" 132 0.1559903161
"133" 133 0.1620927161
"134" 134 0.1384903161
"135" 135 0.1700423161
"136" 136 0.1681919161
"137" 137 0.1169439161
"138" 138 0.1621431161
"139" 139 0.1796959161
"140" 140 0.1829439161
"141" 141 0.1867423161
"142" 142 0.1673943161
"143" 143 0.1364943161
"144" 144 0.2039927161
"145" 145 0.2281431161
"146" 146 0.2187431161
"147" 147 0.2015455161
"148" 148 0.2058895161
"149" 149 0.2210447161
"150" 150 0.2224415161
"151" 151 0.1843415161
"152" 152 0.2168415161
"153" 153 0.1779919161
"154" 154 0.1674919161
"155" 155 0.1776943161
"156" 156 0.1801919161
"157" 157 0.1730407161
"158" 158 0.2409935161
"159" 159 0.1229431161
"160" 160 0.2532919161
"161" 161 0.2133455161
"162" 162 0.1732447161
"163" 163 0.2028399161
"164" 164 0.2218423161
"165" 165 0.1604943161
"166" 166 0.2794439161
"167" 167 0.1735943161
"168" 168 0.1566943161
"169" 169 0.2491943161
"170" 170 0.1989407161
"171" 171 0.2061919161
"172" 172 0.1903455161
"173" 173 0.2283447161
"174" 174 0.1714439161
"175" 175 0.2142447161
"176" 176 0.1945431161
"177" 177 0.2096951161
"178" 178 0.1966455161
"179" 179 0.2061423161
"180" 180 0.1847919161
"181" 181 0.1689919161
"182" 182 0.1443439161
"183" 183 0.2041431161
"184" 184 0.1658415161
"185" 185 0.2295439161
"186" 186 0.3133943161
"187" 187 0.1987415161
"188" 188 0.3512895161
"189" 189 0.1924415161
"190" 190 0.1834431161
"191" 191 0.1987431161
"192" 192 0.2522903161
"193" 193 0.3125391161
"194" 194 0.1190935161
"195" 195 0.1710935161
"196" 196 0.1947927161
"197" 197 0.2367967161
"198" 198 0.1731959161
"199" 199 0.1768935161
