"V1" "V2"
"1" 1 0.2152439161
"2" 2 0.1741959161
"3" 3 0.1875943161
"4" 4 0.2116943161
"5" 5 0.1940399161
"6" 6 0.2338407161
"7" 7 0.1279951161
"8" 8 0.2177439161
"9" 9 0.1760423161
"10" 10 0.1861943161
"11" 11 0.1585951161
"12" 12 0.2633431161
"13" 13 0.2462463161
"14" 14 0.2208447161
"15" 15 0.1549455161
"16" 16 0.1805927161
"17" 17 0.3289399161
"18" 18 0.2307943161
"19" 19 0.2595423161
"20" 20 0.3263431161
"21" 21 0.1829935161
"22" 22 0.2145951161
"23" 23 0.1562911161
"24" 24 0.2086943161
"25" 25 0.2729903161
"26" 26 0.1934431161
"27" 27 0.1781919161
"28" 28 0.2263943161
"29" 29 0.1171927161
"30" 30 0.1933423161
"31" 31 0.2422919161
"32" 32 0.2867463161
"33" 33 0.2136903161
"34" 34 0.1431951161
"35" 35 0.1864943161
"36" 36 0.1652911161
"37" 37 0.1548455161
"38" 38 0.1575927161
"39" 39 0.1353431161
"40" 40 0.1875943161
"41" 41 0.1923911161
"42" 42 0.2427439161
"43" 43 0.2678407161
"44" 44 0.2340423161
"45" 45 0.1610959161
"46" 46 0.1331943161
"47" 47 0.3101407161
"48" 48 0.2420935161
"49" 49 0.1724943161
"50" 50 0.2061919161
"51" 51 0.1788423161
"52" 52 0.1890959161
"53" 53 0.1834951161
"54" 54 0.1471951161
"55" 55 0.1643919161
"56" 56 0.2911423161
"57" 57 0.1806927161
"58" 58 0.2609983161
"59" 59 0.1536911161
"60" 60 0.1590919161
"61" 61 0.1917959161
"62" 62 0.1944927161
"63" 63 0.3256423161
"64" 64 0.1703447161
"65" 65 0.1385927161
"66" 66 0.1917463161
"67" 67 0.2341919161
"68" 68 0.2272919161
"69" 69 0.2245423161
"70" 70 0.1528439161
"71" 71 0.1810927161
"72" 72 0.2086911161
"73" 73 0.2360415161
"74" 74 0.1483455161
"75" 75 0.4029903161
"76" 76 0.1563479161
"77" 77 0.3222423161
"78" 78 0.1998447161
"79" 79 0.1456439161
"80" 80 0.1253935161
"81" 81 0.1882935161
"82" 82 0.3438423161
"83" 83 0.2248431161
"84" 84 0.3211943161
"85" 85 0.1620439161
"86" 86 0.1218935161
"87" 87 0.1825935161
"88" 88 0.1903431161
"89" 89 0.1561439161
"90" 90 0.2322407161
"91" 91 0.1857935161
"92" 92 0.2099935161
"93" 93 0.1825919161
"94" 94 0.1443935161
"95" 95 0.2117895161
"96" 96 0.2072919161
"97" 97 0.2216919161
"98" 98 0.2126967161
"99" 99 0.1000423161
"100" 100 0.2436439161
"101" 101 0.1575935161
"102" 102 0.1551447161
"103" 103 0.1437927161
"104" 104 0.2597463161
"105" 105 0.2225407161
"106" 106 0.1600447161
"107" 107 0.3497943161
"108" 108 0.1932935161
"109" 109 0.1798479161
"110" 110 0.1789439161
"111" 111 0.2338415161
"112" 112 0.2002967161
"113" 113 0.2112439161
"114" 114 0.1827943161
"115" 115 0.1904935161
"116" 116 0.1629935161
"117" 117 0.1404927161
"118" 118 0.2543983161
"119" 119 0.2124447161
"120" 120 0.2433927161
"121" 121 0.1530919161
"122" 122 0.1942927161
"123" 123 0.1877943161
"124" 124 NA
"125" 125 0.2383903161
"126" 126 0.1861447161
"127" 127 0.1705423161
"128" 128 0.1438951161
"129" 129 0.2061967161
"130" 130 0.1897415161
"131" 131 0.2511911161
"132" 132 0.1568943161
"133" 133 0.1976951161
"134" 134 0.1689447161
"135" 135 0.1799431161
"136" 136 0.1815959161
"137" 137 0.2260927161
"138" 138 0.1965423161
"139" 139 0.1781935161
"140" 140 0.1520943161
"141" 141 0.1802951161
"142" 142 0.1559439161
"143" 143 0.3589879161
"144" 144 0.1615943161
"145" 145 0.1914431161
"146" 146 0.1196967161
"147" 147 0.1852919161
"148" 148 0.1915927161
"149" 149 0.2053471161
"150" 150 0.2108935161
"151" 151 0.1413431161
"152" 152 0.2241919161
"153" 153 0.2400431161
"154" 154 0.1716423161
"155" 155 0.2177967161
"156" 156 0.2373919161
"157" 157 0.1966415161
"158" 158 0.1462439161
"159" 159 0.1597935161
"160" 160 0.3481927161
"161" 161 0.1915439161
"162" 162 0.2045423161
"163" 163 0.2842391161
"164" 164 0.1459943161
"165" 165 0.2101415161
"166" 166 0.1786439161
"167" 167 0.1372431161
"168" 168 0.1658471161
"169" 169 0.1682935161
"170" 170 0.2812975161
"171" 171 0.1779415161
"172" 172 0.1694423161
"173" 173 0.2216439161
"174" 174 0.2440927161
"175" 175 0.1953407161
"176" 176 0.2097943161
"177" 177 0.1493431161
"178" 178 0.1311463161
"179" 179 0.2208903161
"180" 180 0.2068463161
"181" 181 0.1852431161
"182" 182 0.1711423161
"183" 183 0.1847895161
"184" 184 0.1848935161
"185" 185 0.2154431161
"186" 186 0.1592439161
"187" 187 0.3381951161
"188" 188 0.1471415161
"189" 189 0.1435447161
"190" 190 0.2021423161
"191" 191 0.2553447161
"192" 192 0.1792447161
"193" 193 0.3175455161
"194" 194 0.1501935161
"195" 195 0.1881447161
"196" 196 0.3078439161
"197" 197 0.1829935161
"198" 198 0.2069927161
"199" 199 0.1548439161
"200" 200 0.2872431161
"201" 201 0.1606447161
"202" 202 0.1923943161
"203" 203 0.1733447161
"204" 204 0.1520927161
"205" 205 0.1480967161
"206" 206 0.2419415161
"207" 207 0.1817439161
"208" 208 0.1478463161
"209" 209 0.2555423161
"210" 210 0.1884439161
"211" 211 0.1831423161
"212" 212 0.1645439161
"213" 213 0.2070423161
"214" 214 0.1950463161
"215" 215 0.2147919161
"216" 216 0.2162951161
"217" 217 0.3730407161
"218" 218 0.1942439161
"219" 219 0.1712439161
"220" 220 0.1547439161
"221" 221 0.2061455161
"222" 222 0.2963447161
"223" 223 0.2252943161
"224" 224 0.1718919161
"225" 225 0.1692431161
"226" 226 0.2162935161
"227" 227 0.1754935161
"228" 228 0.2319927161
"229" 229 0.1961415161
"230" 230 0.2493447161
"231" 231 0.2225919161
"232" 232 0.1509935161
"233" 233 0.1822423161
"234" 234 0.1570911161
"235" 235 0.1393439161
"236" 236 0.1967943161
"237" 237 0.2131959161
"238" 238 0.2391455161
"239" 239 0.2065967161
"240" 240 0.1990935161
"241" 241 0.2147423161
"242" 242 0.1744447161
"243" 243 0.1918455161
"244" 244 0.1600455161
"245" 245 0.1722927161
"246" 246 0.1695447161
"247" 247 0.1629447161
"248" 248 0.2763471161
"249" 249 0.1643935161
"250" 250 0.2101455161
"251" 251 0.1494431161
"252" 252 0.1845431161
"253" 253 0.3025455161
"254" 254 0.1524935161
"255" 255 0.2070431161
"256" 256 0.1214927161
"257" 257 0.1698439161
"258" 258 0.2718423161
"259" 259 0.2162919161
"260" 260 0.1830943161
"261" 261 0.2955423161
"262" 262 0.2865431161
"263" 263 0.1775439161
"264" 264 0.2333423161
"265" 265 0.1648455161
"266" 266 0.1902935161
"267" 267 0.2129431161
"268" 268 0.1495439161
"269" 269 0.1388943161
"270" 270 0.1008911161
"271" 271 0.1720463161
"272" 272 0.1723423161
"273" 273 0.1382431161
"274" 274 0.2275431161
"275" 275 0.2006967161
"276" 276 0.1382415161
"277" 277 0.1961423161
"278" 278 0.2021431161
"279" 279 0.1839431161
"280" 280 0.2588439161
"281" 281 0.1405903161
"282" 282 0.2939927161
"283" 283 0.2152447161
"284" 284 0.3607455161
"285" 285 0.2564423161
"286" 286 0.1398951161
"287" 287 0.2677439161
"288" 288 0.2186951161
"289" 289 0.1830927161
"290" 290 0.2299447161
"291" 291 0.1709943161
"292" 292 0.2602407161
"293" 293 0.1470935161
"294" 294 0.1224447161
"295" 295 0.1620927161
"296" 296 0.2171415161
"297" 297 0.3282911161
"298" 298 0.1635447161
"299" 299 0.3367943161
"300" 300 0.2227919161
"301" 301 0.2310431161
"302" 302 0.1944895161
"303" 303 0.1781455161
"304" 304 0.1761423161
"305" 305 0.1338463161
"306" 306 0.1601439161
"307" 307 0.2389439161
"308" 308 0.1862447161
"309" 309 0.1395935161
"310" 310 0.1958423161
"311" 311 0.1781951161
"312" 312 0.1662919161
"313" 313 0.1891447161
"314" 314 0.2353927161
"315" 315 0.1713967161
"316" 316 0.1708463161
"317" 317 0.3092943161
"318" 318 0.1507439161
"319" 319 0.2071439161
"320" 320 0.3077415161
"321" 321 0.2100927161
"322" 322 0.1872447161
"323" 323 0.2030943161
"324" 324 0.1169455161
"325" 325 0.1733935161
"326" 326 0.1624431161
"327" 327 0.1993935161
"328" 328 0.2716911161
"329" 329 0.2579399161
"330" 330 0.2161407161
"331" 331 0.2400935161
"332" 332 0.1823439161
"333" 333 0.1579919161
"334" 334 0.2651959161
"335" 335 0.2961423161
"336" 336 0.1983935161
"337" 337 0.0947959161
"338" 338 0.2164927161
"339" 339 0.2334423161
"340" 340 0.1629431161
"341" 341 0.2456471161
"342" 342 0.1823935161
"343" 343 0.1946471161
"344" 344 0.1836431161
"345" 345 0.1885935161
"346" 346 0.1538943161
"347" 347 0.1901927161
"348" 348 0.1771935161
"349" 349 0.1228439161
"350" 350 0.2379447161
"351" 351 0.1589943161
"352" 352 0.1199447161
"353" 353 0.2706431161
"354" 354 0.1777431161
"355" 355 0.2520879161
"356" 356 0.1991959161
"357" 357 0.1829903161
"358" 358 0.1791447161
"359" 359 0.1379935161
"360" 360 0.3050447161
"361" 361 0.2414927161
"362" 362 0.1788439161
"363" 363 0.2959911161
"364" 364 0.2396959161
"365" 365 0.1567935161
"366" 366 0.2061447161
"367" 367 0.2156447161
"368" 368 0.1749919161
"369" 369 0.2230439161
"370" 370 0.2399439161
"371" 371 0.1379447161
"372" 372 0.2133407161
"373" 373 0.2383415161
"374" 374 0.1345943161
"375" 375 0.2271455161
"376" 376 0.1343415161
"377" 377 0.1736927161
"378" 378 0.1532959161
"379" 379 0.3486943161
"380" 380 0.1515447161
"381" 381 0.3232439161
"382" 382 0.2294943161
"383" 383 0.2314455161
"384" 384 0.2185415161
"385" 385 0.2112935161
"386" 386 0.1685431161
"387" 387 0.1365431161
"388" 388 0.2097951161
"389" 389 0.2801959161
"390" 390 0.1712943161
"391" 391 0.1895447161
"392" 392 0.1693919161
"393" 393 0.2104423161
"394" 394 0.2223911161
"395" 395 0.1981447161
"396" 396 0.2689415161
"397" 397 0.2041919161
"398" 398 0.1630463161
"399" 399 0.2006463161
"400" 400 0.2592447161
"401" 401 0.1978407161
"402" 402 0.1554415161
"403" 403 0.1935911161
"404" 404 0.1276943161
"405" 405 0.1868919161
"406" 406 0.1968951161
"407" 407 0.2400455161
