Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 12 p2_1.tif,1,1421,1421.000,88.812,255
tumour pic day 12 p2_2.tif,2,1448,724.000,90.500,255
tumour pic day 12 p2_3.tif,2,1203,601.500,75.188,255
tumour pic day 12 p2_4.tif,1,1546,1546.000,96.625,255
tumour pic day 12 p2_5.tif,2,1320,660.000,82.500,255
tumour pic day 12 p2_6.tif,1,1240,1240.000,77.500,255
tumour pic day 12 p2_7.tif,2,1214,607.000,75.875,255
tumour pic day 12 p2_8.tif,2,1141,570.500,71.312,255
tumour pic day 12 p2_9.tif,1,1304,1304.000,81.500,255
tumour pic day 12 p2_10.tif,3,1028,342.667,64.250,255
tumour pic day 12 p2_11.tif,1,1343,1343.000,83.938,255
tumour pic day 12 p2_12.tif,2,1141,570.500,71.312,255
