"V1" "V2" "V3" "V4"
"1" 1 1.7477713255 1.0154947001 0.7322766254
"2" 2 1.5700438255 0.8964347001 0.6736091254
"3" 3 1.6608213255 0.9276047001 0.7332166254
"4" 4 1.1794863255 0.6547122001 0.5247741254
"5" 5 1.6422263255 0.9839322001 0.6582941254
"6" 6 1.0594925755 0.7161984501 0.3432941254
"7" 7 1.7611363255 0.9291697001 0.8319666254
"8" 8 1.2235538255 0.8833084501 0.3402453754
"9" 9 1.4493350755 0.9830722001 0.4662628754
"10" 10 1.4477763255 0.8976047001 0.5501716254
"11" 11 1.5905863255 0.9412784501 0.6493078754
"12" 12 1.4476188255 0.9702634501 0.4773553754
"13" 13 1.3333225755 0.8591684501 0.4741541254
"14" 14 1.5177750755 0.9413559501 0.5764191254
"15" 15 1.3712138255 0.8940897001 0.4771241254
"16" 16 1.6930063255 1.0726059501 0.6204003754
"17" 17 1.7755125755 0.9184634501 0.8570491254
"18" 18 1.4084813255 0.7987797001 0.6097016254
"19" 19 1.7127775755 1.0834684501 0.6293091254
"20" 20 1.3069113255 0.7041672001 0.6027441254
"21" 21 1.5101213255 0.9350284501 0.5750928754
"22" 22 1.1298850755 0.7910434501 0.3388416254
"23" 23 1.6441813255 0.8804934501 0.7636878754
"24" 24 1.4503538255 0.8026059501 0.6477478754
"25" 25 1.3360550755 0.8667459501 0.4693091254
"26" 26 1.9830100755 0.8068234501 1.1761866254
"27" 27 1.2545713255 0.7483084501 0.5062628754
"28" 28 1.5767600755 0.6817472001 0.8950128754
"29" 29 1.2848800755 0.6193234501 0.6655566254
"30" 30 1.5123788255 0.9339334501 0.5784453754
"31" 31 1.3894888255 0.9001047001 0.4893841254
"32" 32 1.3527763255 0.8656509501 0.4871253754
"33" 33 1.7785538255 1.0801822001 0.6983716254
"34" 34 1.3493438255 0.8139359501 0.5354078754
"35" 35 1.9487163255 0.8952609501 1.0534553754
"36" 36 1.2076163255 0.7570584501 0.4505578754
"37" 37 1.6558238255 0.9898722001 0.6659516254
"38" 38 1.4587925755 0.9150272001 0.5437653754
"39" 39 1.6190225755 0.9681522001 0.6508703754
"40" 40 1.7923825755 0.8810447001 0.9113378754
"41" 41 1.4648038255 0.8825259501 0.5822778754
"42" 42 1.3487100755 0.8132297001 0.5354803754
"43" 43 1.4004288255 0.9324509501 0.4679778754
"44" 44 1.2437913255 0.9192484501 0.3245428754
"45" 45 1.3989488255 0.8785447001 0.5204041254
"46" 46 1.4776988255 0.8719034501 0.6057953754
"47" 47 1.4549688255 0.6926047001 0.7623641254
"48" 48 1.2269138255 0.8431522001 0.3837616254
"49" 49 1.4484763255 1.1786222001 0.2698541254
"50" 50 1.3451175755 0.9138547001 0.4312628754
"51" 51 1.3720725755 0.6404947001 0.7315778754
"52" 52 1.6403463255 0.9205734501 0.7197728754
"53" 53 1.6724638255 1.0259672001 0.6464966254
"54" 54 1.8083213255 0.9456509501 0.8626703754
"55" 55 1.3400438255 0.8539309501 0.4861128754
"56" 56 1.6317613255 0.9415934501 0.6901678754
"57" 57 1.3164475755 0.8315884501 0.4848591254
"58" 58 1.9730113255 0.7664322001 1.2065791254
"59" 59 1.2893350755 0.8586997001 0.4306353754
"60" 60 1.2037888255 0.8665884501 0.3372003754
"61" 61 1.7849638255 0.9628397001 0.8221241254
"62" 62 1.1735563255 0.6826809501 0.4908753754
"63" 63 1.2978513255 0.7521359501 0.5457153754
"64" 64 1.6898875755 0.9855747001 0.7043128754
"65" 65 1.6700438255 0.7413547001 0.9286891254
"66" 66 1.8527050755 1.1316697001 0.7210353754
"67" 67 1.6478538255 1.1287784501 0.5190753754
"68" 68 1.4474575755 0.9532284501 0.4942291254
"69" 69 1.6044950755 0.9967484501 0.6077466254
"70" 70 1.6072313255 1.0728409501 0.5343903754
"71" 71 1.5071500755 0.8659647001 0.6411853754
"72" 72 1.5389500755 0.7862772001 0.7526728754
"73" 73 1.6688663255 0.9843234501 0.6845428754
"74" 74 1.9665300755 0.8920572001 1.0744728754
"75" 75 1.6425375755 1.0512009501 0.5913366254
"76" 76 1.7344875755 0.7682297001 0.9662578754
"77" 77 1.7319963255 1.1745597001 0.5574366254
"78" 78 1.4338675755 0.8556522001 0.5782153754
"79" 79 1.6795713255 1.0910459501 0.5885253754
"80" 80 1.8862825755 0.8916659501 0.9946166254
"81" 81 1.4661350755 0.7163534501 0.7497816254
"82" 82 1.1387875755 0.8219797001 0.3168078754
"83" 83 1.6253463255 0.8222922001 0.8030541254
"84" 84 1.5756663255 0.9867472001 0.5889191254
"85" 85 1.4237150755 0.8820597001 0.5416553754
"86" 86 1.4284000755 0.7495597001 0.6788403754
"87" 87 1.4837850755 0.8518222001 0.6319628754
"88" 88 2.0205938255 0.9695572001 1.0510366254
"89" 89 1.5082450755 0.7702622001 0.7379828754
"90" 90 1.2766800755 0.8178409501 0.4588391254
"91" 91 1.3146450755 0.7817447001 0.5329003754
"92" 92 1.4133238255 0.8076809501 0.6056428754
"93" 93 1.8125450755 0.8505759501 0.9619691254
"94" 94 1.3113663255 0.8929184501 0.4184478754
"95" 95 1.4298888255 1.0070597001 0.4228291254
"96" 96 1.3235613255 0.8676859501 0.4558753754
"97" 97 1.5165225755 0.8520559501 0.6644666254
"98" 98 2.1943313255 0.8758059501 1.3185253754
"99" 99 1.4396488255 0.9081509501 0.5314978754
"100" 100 1.9383275755 0.8065897001 1.1317378754
"101" 101 1.4437900755 0.8591672001 0.5846228754
"102" 102 1.3169950755 0.8746359501 0.4423591254
"103" 103 1.5626988255 0.7837759501 0.7789228754
"104" 104 1.4684725755 0.8250247001 0.6434478754
"105" 105 1.7413713255 1.1179984501 0.6233728754
"106" 106 1.5623900755 0.8569797001 0.7054103754
"107" 107 1.3072350755 0.8323734501 0.4748616254
"108" 108 1.4513675755 0.9471397001 0.5042278754
"109" 109 1.4115225755 0.7968222001 0.6147003754
"110" 110 1.6545763255 0.8777597001 0.7768166254
"111" 111 1.8523050755 1.0214334501 0.8308716254
"112" 112 1.5570713255 1.0565922001 0.5004791254
"113" 113 1.2481650755 0.7934634501 0.4547016254
"114" 114 1.3786338255 0.8994047001 0.4792291254
"115" 115 1.6369975755 1.1063559501 0.5306416254
"116" 116 1.7784000755 0.8805747001 0.8978253754
"117" 117 1.5070725755 0.8433884501 0.6636841254
"118" 118 1.8516038255 0.9797172001 0.8718866254
"119" 119 1.7162863255 0.9140884501 0.8021978754
"120" 120 1.6066038255 0.8707297001 0.7358741254
"121" 121 1.3887213255 0.8570597001 0.5316616254
"122" 122 1.9819963255 0.9872172001 0.9947791254
"123" 123 1.3173800755 0.7476034501 0.5697766254
"124" 124 1.5758275755 0.8208859501 0.7549416254
"125" 125 2.0215325755 1.2587047001 0.7628278754
"126" 126 1.5968375755 1.2053409501 0.3914966254
"127" 127 1.6228538255 0.9755734501 0.6472803754
"128" 128 1.6644975755 0.7239334501 0.9405641254
"129" 129 1.4201950755 0.9656509501 0.4545441254
"130" 130 1.6936350755 0.9245597001 0.7690753754
"131" 131 1.5837938255 0.9472147001 0.6365791254
"132" 132 1.5719175755 0.9788572001 0.5930603754
"133" 133 1.1672288255 0.8103422001 0.3568866254
"134" 134 1.5564488255 0.9282322001 0.6282166254
"135" 135 1.7878550755 0.9365909501 0.8512641254
"136" 136 1.3607425755 0.7035409501 0.6572016254
"137" 137 1.7399588255 0.8694797001 0.8704791254
"138" 138 1.5397300755 0.8765109501 0.6632191254
"139" 139 1.8651950755 0.8062759501 1.0589191254
"140" 140 1.6558988255 1.1301847001 0.5257141254
"141" 141 1.2462138255 0.7076059501 0.5386078754
"142" 142 1.8357450755 0.8155722001 1.0201728754
"143" 143 1.5036338255 0.6900259501 0.8136078754
"144" 144 1.3915263255 0.9409659501 0.4505603754
"145" 145 1.4303550755 1.0182322001 0.4121228754
"146" 146 1.8016838255 0.9990109501 0.8026728754
"147" 147 2.1954225755 0.9390122001 1.2564103754
"148" 148 1.7455913255 0.8487022001 0.8968891254
"149" 149 1.1918350755 0.7722922001 0.4195428754
"150" 150 1.3479363255 0.7371347001 0.6108016254
"151" 151 1.4135550755 0.8454934501 0.5680616254
"152" 152 1.6651213255 0.8826847001 0.7824366254
"153" 153 1.4271475755 0.8879947001 0.5391528754
"154" 154 1.4764475755 0.8653409501 0.6111066254
"155" 155 1.3572275755 0.9628409501 0.3943866254
"156" 156 1.6103525755 0.9789334501 0.6314191254
"157" 157 1.8079300755 0.9310434501 0.8768866254
"158" 158 1.5596463255 1.0415134501 0.5181328754
"159" 159 1.6483225755 0.7798684501 0.8684541254
"160" 160 1.3981650755 0.8217459501 0.5764191254
"161" 161 1.3701200755 0.8980734501 0.4720466254
"162" 162 1.3084738255 0.8897922001 0.4186816254
"163" 163 1.3928525755 0.8815884501 0.5112641254
"164" 164 1.2049675755 0.7304959501 0.4744716254
"165" 165 1.2681650755 0.8297922001 0.4383728754
"166" 166 1.7687125755 0.8420559501 0.9266566254
"167" 167 1.8144188255 0.9149509501 0.8994678754
"168" 168 1.4516750755 0.8640897001 0.5875853754
"169" 169 1.4108225755 0.8736209501 0.5372016254
"170" 170 1.6470763255 0.7279959501 0.9190803754
"171" 171 1.2012900755 0.8110422001 0.3902478754
"172" 172 1.5037925755 0.9921384501 0.5116541254
"173" 173 1.3909825755 0.7451834501 0.6457991254
"174" 174 1.7906700755 1.0207297001 0.7699403754
"175" 175 1.6905863255 1.0893247001 0.6012616254
"176" 176 1.5051200755 0.8512759501 0.6538441254
"177" 177 1.0817600755 0.8071359501 0.2746241254
