"V1" "V2" "V3" "V4"
"1" 1 NA 0 0
"2" 2 5.2407550755 2.1313484501 3.1094066254
"3" 3 5.6941113255 2.3981459501 3.2959653754
"4" 4 4.2716100755 1.5171309501 2.7544791254
"5" 5 5.3248938255 2.2339259501 3.0909678754
"6" 6 6.7853588255 2.3122859501 4.4730728754
"7" 7 10.1104263255 3.1075209501 7.0029053754
"8" 8 5.3801275755 2.2300197001 3.1501078754
"9" 9 4.4226288255 1.6570559501 2.7655728754
"10" 10 5.1779425755 2.1339259501 3.0440166254
"11" 11 4.0010613255 1.0187734501 2.9822878754
"12" 12 5.0664538255 2.1941622001 2.8722916254
"13" 13 5.3952863255 2.2417384501 3.1535478754
"14" 14 4.9236438255 2.0632247001 2.8604191254
"15" 15 8.6094125755 2.5608034501 6.0486091254
"16" 16 4.6349663255 1.9654884501 2.6694778754
"17" 17 5.9505950755 2.2808034501 3.6697916254
"18" 18 17.2612875755 4.2697084501 12.9915791254
"19" 19 6.3564588255 2.1845547001 4.1719041254
"20" 20 5.1279400755 1.9412734501 3.1866666254
"21" 21 5.2365338255 2.4085384501 2.8279953754
"22" 22 5.7581775755 2.0325197001 3.7256578754
"23" 23 5.3671600755 2.2339259501 3.1332341254
"24" 24 9.1074625755 2.8733034501 6.2341591254
"25" 25 11.0558925755 2.9617422001 8.0941503754
"26" 26 NA 0 0
"27" 27 5.2720038255 2.1328322001 3.1391716254
"28" 28 8.9005025755 2.2701009501 6.6304016254
"29" 29 4.9137225755 2.0108022001 2.9029203754
"30" 30 5.9516875755 2.4792384501 3.4724491254
"31" 31 5.6705150755 2.1698634501 3.5006516254
"32" 32 4.9523138255 1.9333009501 3.0190128754
"33" 33 5.9402000755 1.6949422001 4.2452578754
"34" 34 5.3743475755 2.2390834501 3.1352641254
"35" 35 5.1758350755 2.1233047001 3.0525303754
"36" 36 NA 0 0
"37" 37 12.6927138255 2.4269097001 10.2658041254
"38" 38 11.7344813255 3.2017384501 8.5327428754
"39" 39 5.3740313255 2.3103309501 3.0637003754
"40" 40 3.5152788255 1.7444872001 1.7707916254
"41" 41 5.3098925755 2.2378322001 3.0720603754
"42" 42 5.6339525755 2.3315822001 3.3023703754
"43" 43 5.7363013255 2.2554884501 3.4808128754
"44" 44 5.1536438255 1.9938484501 3.1597953754
"45" 45 5.4810613255 1.0722934501 4.4087678754
"46" 46 4.6402825755 2.1030684501 2.5372141254
"47" 47 4.9506675755 2.0461922001 2.9044753754
"48" 48 11.6883200755 2.2453322001 9.4429878754
"49" 49 9.4723763255 2.1133959501 7.3589803754
"50" 50 5.2914550755 2.2261134501 3.0653416254
"51" 51 5.8562113255 1.9179109501 3.9383003754
"52" 52 4.7602050755 1.9430672001 2.8171378754
"53" 53 6.7540325755 1.7651072001 4.9889253754
"54" 54 4.8831013255 1.9836184501 2.8994828754
"55" 55 6.5177875755 2.4363522001 4.0814353754
"56" 56 9.8964475755 2.8524434501 7.0440041254
"57" 57 5.2638788255 2.1433022001 3.1205766254
"58" 58 5.1794250755 2.0654884501 3.1139366254
"59" 59 NA 0 0
"60" 60 4.3791900755 1.6511172001 2.7280728754
"61" 61 5.4505188255 2.4214259501 3.0290928754
"62" 62 5.3323850755 2.1166609501 3.2157241254
"63" 63 7.0805063255 1.3135397001 5.7669666254
"64" 64 NA 0 0
"65" 65 5.2830188255 2.2495509501 3.0334678754
"66" 66 5.1931000755 2.0665072001 3.1265928754
"67" 67 5.0848175755 1.8976009501 3.1872166254
"68" 68 5.3080975755 2.2125984501 3.0954991254
"69" 69 6.0291900755 2.2797097001 3.7494803754
"70" 70 5.3108313255 2.2261134501 3.0847178754
"71" 71 4.3917675755 1.6865047001 2.7052628754
"72" 72 7.2769975755 2.3123647001 4.9646328754
"73" 73 14.9245700755 3.1483847001 11.7761853754
"74" 74 7.6001325755 1.9569009501 5.6432316254
"75" 75 5.0841913255 2.2011159501 2.8830753754
"76" 76 5.1869250755 2.1378334501 3.0490916254
"77" 77 4.3046638255 1.1549509501 3.1497128754
"78" 78 4.6587238255 1.5990847001 3.0596391254
"79" 79 NA 0 0
"80" 80 5.3205188255 2.2230672001 3.0974516254
"81" 81 5.2480175755 2.3192397001 2.9287778754
"82" 82 4.7834875755 1.3744772001 3.4090103754
"83" 83 15.3821475755 2.4982259501 12.8839216254
"84" 84 5.3875513255 2.2357222001 3.1518291254
"85" 85 16.8400450755 3.0500272001 13.7900178754
"86" 86 5.0715375755 1.8101772001 3.2613603754
"87" 87 5.4751313255 2.2479897001 3.2271416254
"88" 88 12.8673050755 2.2883034501 10.5790016254
"89" 89 4.1791125755 1.5020509501 2.6770616254
"90" 90 8.8396513255 2.8376747001 6.0019766254
"91" 91 3.8410625755 1.8254134501 2.0156491254
"92" 92 NA 0 0
"93" 93 5.4939500755 2.1578347001 3.3361153754
"94" 94 5.2990338255 2.2495509501 3.0494828754
"95" 95 7.2958200755 1.7129897001 5.5828303754
"96" 96 9.5434750755 2.4412747001 7.1022003754
"97" 97 4.1005200755 1.9970534501 2.1034666254
"98" 98 7.9470000755 3.0661922001 4.8808078754
"99" 99 5.4060588255 1.9778347001 3.4282241254
"100" 100 5.3763000755 2.2339259501 3.1423741254
"101" 101 4.7150500755 0.8408859501 3.8741641254
