"V1" "V2"
"1" 1 1.5031663255
"2" 2 1.2673850755
"3" 3 1.5334763255
"4" 4 1.2977713255
"5" 5 1.5798088255
"6" 6 1.2070638255
"7" 7 1.8361413255
"8" 8 1.6283988255
"9" 9 1.5101175755
"10" 10 1.3780888255
"11" 11 1.4251975755
"12" 12 1.4891000755
"13" 13 1.4748900755
"14" 14 1.1929300755
"15" 15 1.2664463255
"16" 16 2.0605063255
"17" 17 1.3480888255
"18" 18 1.5933188255
"19" 19 1.4015275755
"20" 20 1.6594863255
"21" 21 1.2418350755
"22" 22 1.1841050755
"23" 23 1.5564438255
"24" 24 1.4679300755
"25" 25 1.4091800755
"26" 26 1.2882450755
"27" 27 1.1960563255
"28" 28 1.3362113255
"29" 29 1.6740288255
"30" 30 1.2176188255
"31" 31 1.3490263255
"32" 32 1.4791813255
"33" 33 1.3955888255
"34" 34 1.7011350755
"35" 35 1.3815988255
"36" 36 1.4696488255
"37" 37 1.7982463255
"38" 38 1.3407450755
"39" 39 1.8480138255
"40" 40 1.2916025755
"41" 41 1.5466050755
"42" 42 1.3256688255
"43" 43 1.2184763255
"44" 44 1.3054313255
"45" 45 1.3287875755
"46" 46 1.5173825755
"47" 47 1.5675425755
"48" 48 1.4105913255
"49" 49 1.3858250755
"50" 50 2.3196563255
"51" 51 1.6525425755
"52" 52 1.2561388255
"53" 53 1.4405100755
"54" 54 1.4705113255
"55" 55 1.3329300755
"56" 56 1.3959775755
"57" 57 1.0450388255
"58" 58 1.4527050755
"59" 59 1.6324638255
"60" 60 1.6788688255
"61" 61 1.4966813255
"62" 62 1.6784763255
"63" 63 1.1604313255
"64" 64 1.2494900755
"65" 65 1.3693375755
"66" 66 1.0941063255
"67" 67 1.2901150755
"68" 68 1.4918363255
"69" 69 1.8529350755
"70" 70 1.7748875755
"71" 71 1.6101938255
"72" 72 1.3638663255
"73" 73 1.3149625755
"74" 74 1.0925350755
"75" 75 1.4141813255
"76" 76 1.7027725755
"77" 77 1.6419150755
"78" 78 1.4126188255
