"V1" "V2"
"1" 1 1.3293413255
"2" 2 1.9019900755
"3" 3 1.4909763255
"4" 4 1.6175413255
"5" 5 1.6354338255
"6" 6 1.6219925755
"7" 7 1.9933950755
"8" 8 1.3419100755
"9" 9 2.0123100755
"10" 10 1.1091013255
"11" 11 1.6865313255
"12" 12 1.9486413255
"13" 13 1.8920013255
"14" 14 2.0065238255
"15" 15 1.4742638255
"16" 16 1.7865288255
"17" 17 1.5303575755
"18" 18 1.7861350755
"19" 19 1.4450425755
"20" 20 1.5183988255
"21" 21 1.8287938255
"22" 22 1.4946513255
"23" 23 1.9144138255
"24" 24 1.2455050755
"25" 25 1.9587138255
"26" 26 1.4605850755
"27" 27 1.2837100755
"28" 28 1.7535500755
"29" 29 1.5813638255
"30" 30 1.5169138255
"31" 31 2.2677025755
"32" 32 1.3773850755
"33" 33 1.6399650755
"34" 34 1.3753550755
"35" 35 1.6019175755
"36" 36 1.3277788255
"37" 37 1.9377738255
"38" 38 2.0919188255
"39" 39 1.5408263255
"40" 40 1.6253500755
"41" 41 1.6283975755
"42" 42 1.4104288255
"43" 43 1.2104250755
"44" 44 1.9156663255
"45" 45 1.6394188255
"46" 46 1.4185588255
"47" 47 1.9826200755
"48" 48 1.9582438255
"49" 49 1.7960538255
"50" 50 1.5178525755
"51" 51 2.5327763255
"52" 52 1.9585575755
"53" 53 1.5021475755
"54" 54 1.8873888255
"55" 55 1.9582450755
"56" 56 1.3542588255
"57" 57 1.4155100755
"58" 58 1.5745713255
"59" 59 1.8708975755
"60" 60 1.8830875755
"61" 61 1.8289513255
"62" 62 1.3380088255
"63" 63 1.4937138255
"64" 64 1.6105863255
"65" 65 1.5169163255
"66" 66 1.9603575755
"67" 67 1.4730838255
"68" 68 1.5010550755
"69" 69 1.8219938255
"70" 70 1.4653575755
"71" 71 1.8544938255
"72" 72 1.1986350755
"73" 73 1.8364463255
"74" 74 1.4787900755
"75" 75 1.2666038255
"76" 76 1.6221463255
"77" 77 1.9812950755
"78" 78 1.8215263255
"79" 79 1.2110600755
"80" 80 1.5065288255
"81" 81 1.6728475755
"82" 82 1.8706713255
"83" 83 1.6391013255
"84" 84 1.6074513255
"85" 85 1.7605050755
"86" 86 1.3930838255
"87" 87 1.5962950755
"88" 88 1.7716063255
"89" 89 1.4854275755
"90" 90 1.6230125755
"91" 91 2.0812113255
"92" 92 2.0321588255
"93" 93 1.8534000755
"94" 94 1.3437138255
"95" 95 1.7079275755
"96" 96 1.6562125755
"97" 97 1.7363650755
"98" 98 1.6570750755
"99" 99 1.9696463255
"100" 100 1.0629375755
"101" 101 1.9364438255
"102" 102 2.8323200755
"103" 103 1.6628513255
"104" 104 1.3193388255
"105" 105 1.7045725755
"106" 106 1.5291813255
"107" 107 1.3097288255
"108" 108 1.6130850755
"109" 109 1.3377750755
"110" 110 1.2941000755
"111" 111 1.7409800755
"112" 112 1.2494175755
"113" 113 1.7172225755
"114" 114 2.1667650755
"115" 115 2.0651975755
"116" 116 1.4605850755
"117" 117 2.1021488255
"118" 118 1.4389425755
"119" 119 2.0994200755
"120" 120 1.8766750755
"121" 121 2.0005925755
"122" 122 1.5925375755
"123" 123 1.7449563255
"124" 124 1.6872250755
"125" 125 1.6214475755
"126" 126 1.4590213255
"127" 127 1.5070000755
"128" 128 1.2576963255
"129" 129 1.7901275755
"130" 130 1.8755950755
"131" 131 1.2965263255
"132" 132 1.3903538255
"133" 133 1.2679338255
"134" 134 1.5883275755
"135" 135 1.5288713255
"136" 136 2.4455900755
"137" 137 1.5491838255
"138" 138 1.5144200755
"139" 139 1.6300463255
"140" 140 1.6147263255
"141" 141 1.2639438255
"142" 142 2.1948900755
"143" 143 1.4361288255
"144" 144 1.7729325755
"145" 145 1.8223863255
"146" 146 1.3318363255
"147" 147 1.6075413255
"148" 148 1.5940313255
"149" 149 1.4974625755
"150" 150 1.2791013255
"151" 151 1.9341088255
"152" 152 1.4498850755
"153" 153 1.2831663255
"154" 154 1.5015250755
"155" 155 1.6887088255
"156" 156 1.6816800755
"157" 157 1.5123838255
"158" 158 1.8945050755
"159" 159 1.9132463255
"160" 160 1.6658313255
"161" 161 1.3126175755
"162" 162 1.6755088255
"163" 163 1.5694150755
"164" 164 1.3172300755
"165" 165 1.6023850755
"166" 166 2.3412963255
"167" 167 1.2587900755
"168" 168 1.6123100755
"169" 169 1.9330863255
"170" 170 1.7576238255
"171" 171 1.5642663255
"172" 172 1.3757413255
"173" 173 1.5459013255
"174" 174 1.4355150755
"175" 175 1.8106700755
"176" 176 1.6180900755
"177" 177 2.0634775755
"178" 178 1.7241900755
"179" 179 1.7358213255
"180" 180 3.9157588255
"181" 181 1.2622988255
"182" 182 1.7180838255
"183" 183 1.2149650755
"184" 184 1.6075450755
"185" 185 2.3174650755
"186" 186 1.3312138255
"187" 187 1.3490213255
"188" 188 1.9998063255
"189" 189 1.6673050755
"190" 190 1.6295738255
"191" 191 1.5535538255
"192" 192 1.6768325755
"193" 193 1.5332463255
"194" 194 1.5548850755
"195" 195 1.7300450755
"196" 196 1.5719963255
"197" 197 1.4200375755
"198" 198 1.5499588255
"199" 199 1.5956675755
"200" 200 1.2880838255
"201" 201 1.2372275755
"202" 202 1.6359788255
"203" 203 1.5427825755
"204" 204 2.0351225755
"205" 205 1.2907450755
"206" 206 1.3412925755
"207" 207 1.7191025755
"208" 208 1.2551213255
"209" 209 1.8800450755
"210" 210 2.1014413255
"211" 211 1.6504413255
"212" 212 1.4530050755
"213" 213 1.8101988255
"214" 214 1.9038700755
"215" 215 1.5266088255
"216" 216 1.7075388255
"217" 217 1.2051963255
"218" 218 1.1315200755
"219" 219 1.2576213255
"220" 220 1.9214538255
"221" 221 1.5096538255
"222" 222 2.2666088255
"223" 223 1.4845750755
"224" 224 1.6266838255
"225" 225 1.5878438255
"226" 226 1.0676138255
"227" 227 1.7017588255
"228" 228 1.5211338255
"229" 229 1.7260625755
"230" 230 1.4829325755
"231" 231 1.4773838255
"232" 232 1.4069950755
"233" 233 1.4398875755
"234" 234 1.6965288255
"235" 235 2.2800413255
"236" 236 1.5329275755
"237" 237 2.3680125755
"238" 238 1.4949600755
"239" 239 1.3722238255
"240" 240 2.0506688255
"241" 241 1.8732388255
"242" 242 1.3716038255
"243" 243 2.4065300755
"244" 244 1.8963750755
"245" 245 1.8784813255
"246" 246 1.5190250755
"247" 247 1.5766013255
"248" 248 1.7142575755
"249" 249 2.1541838255
"250" 250 1.4563663255
"251" 251 1.4655888255
"252" 252 1.9357438255
"253" 253 1.7159763255
"254" 254 1.5265275755
"255" 255 2.0370775755
"256" 256 2.0001913255
"257" 257 1.6493388255
"258" 258 1.4596475755
"259" 259 1.7725400755
"260" 260 1.3030888255
"261" 261 1.5364438255
"262" 262 1.2676125755
"263" 263 1.3769900755
"264" 264 1.4793388255
"265" 265 1.4375413255
"266" 266 1.4908188255
"267" 267 1.5172313255
"268" 268 1.7090225755
"269" 269 1.5114500755
"270" 270 2.3647338255
"271" 271 1.8954388255
"272" 272 1.6177788255
"273" 273 1.4928513255
"274" 274 2.2411388255
"275" 275 1.2663675755
"276" 276 1.5241763255
"277" 277 1.2937113255
"278" 278 1.5612950755
"279" 279 1.3487913255
"280" 280 1.5728538255
"281" 281 1.3630850755
"282" 282 1.9588725755
"283" 283 1.7452663255
"284" 284 1.7082488255
"285" 285 1.3539463255
"286" 286 1.8890300755
"287" 287 1.3818375755
"288" 288 1.4961288255
"289" 289 1.5993363255
"290" 290 2.0927813255
